V1,Date_Deb_Situ,ANNEE,Date_Fin_Situ,IDA,Responsabilite_IDA,ANNEE_CLOTURE,CHARGE_SINISTRE,Num_contrat,IMMAT
4641,2011-02-02,2011,2011-12-31,0,0,2011,1818.08057168133,13339,64310
4642,2013-01-01,2013,2013-07-10,0,0,2013,1821.45421388088,13339,64311
4643,2013-01-12,2013,2013-05-26,0,0,2013,3583.14214662271,13340,64319
4644,2012-01-01,2012,2012-10-01,0,0,2013,2463.45940229683,13341,64322
4645,2011-02-03,2011,2011-12-31,0,0,2011,1156.39400736638,13349,64355
4646,2013-02-01,2013,2013-04-23,0,0,2013,663.033865512851,13353,64376
4647,2012-01-01,2012,2012-04-15,0,0,2012,2502.31556884441,13354,64382
4650,2013-01-01,2013,2013-12-31,0,0,2013,2186.5405032843,13363,64425
4651,2012-04-17,2012,2012-09-25,1,0,2012,-55.5088093536728,13367,64442
4652,2013-01-01,2013,2013-12-31,1,0,2014,2231.66970420931,13369,64460
4653,2011-01-01,2011,2011-07-13,0,0,2011,802.19391164203,13372,64483
4654,2013-01-01,2013,2013-12-31,1,0,2014,-188.029355179577,13372,64484
4655,2012-03-16,2012,2012-05-21,1,0,2012,-662.818297321187,13372,64485
4656,2013-01-01,2013,2013-12-31,0,0,2014,1030.70697321625,13373,64492
4657,2012-08-01,2012,2012-12-19,0,0,2013,1175.10532640288,13376,64512
4658,2012-01-01,2012,2012-12-31,0,0,2013,140.119324582087,13380,64524
4659,2013-07-18,2013,2013-12-31,1,0,2014,-335.35943577285,13381,64526
4661,2013-01-01,2013,2013-11-11,1,0,2013,29.0801490555746,13390,64574
4664,2012-01-01,2012,2012-12-31,0,0,2012,1656.33975747526,13394,64587
4665,2013-04-12,2013,2013-12-31,0,0,2013,2762.59260346042,13394,64588
4666,2012-02-23,2012,2012-12-31,0,0,2012,333.936685707863,13395,64594
4669,2012-01-01,2012,2012-12-31,0,0,2012,4504.43748415951,13400,64612
4670,2013-01-01,2013,2013-12-31,0,0,2014,1468.66608981193,13401,64614
4671,2011-03-07,2011,2011-06-16,1,0,2011,843.0440839625,13401,64615
4674,2013-01-01,2013,2013-11-20,0,0,0,5496.9888874511,13409,64648
4677,2012-01-01,2012,2012-06-03,0,0,2012,926.404303679258,13433,64747
4678,2012-01-01,2012,2012-12-31,0,0,2013,140.119324582087,13433,64753
4679,2011-03-01,2011,2011-11-15,0,0,2011,1284.57085413024,13434,64756
4680,2012-02-01,2012,2012-05-04,1,50,2012,-493.360141853528,13435,64772
4681,2013-01-01,2013,2013-12-31,0,0,2013,799.876553581634,13436,64776
4682,2011-03-16,2011,2011-12-31,1,0,2011,-10.983199365319,13437,64782
4683,2011-07-01,2011,2011-09-29,0,0,2011,2467.25340247013,13445,64813
4684,2011-04-26,2011,2011-12-31,0,0,2012,538.995928028955,13448,64832
4685,2012-02-01,2012,2012-12-31,0,0,2012,1280.93853010069,13449,64834
4686,2011-03-01,2011,2011-11-24,0,0,2011,6707.01626090367,13461,64873
4687,2013-01-01,2013,2013-03-31,0,0,2013,1482.57023817431,13465,64891
4688,2013-08-01,2013,2013-12-31,0,0,2014,6324.56595366165,13466,64894
4689,2011-05-02,2011,2011-10-10,0,0,2013,161.676143748562,13469,64915
4690,2011-05-02,2011,2011-10-10,0,0,2013,767.271864592341,13469,64915
4691,2013-03-01,2013,2013-05-07,0,0,2014,6479.39780732486,13471,64921
